soru,dogruCevap,aciklama,secenekA,secenekB,secenekC,secenekD,secenekE,soruSirasi,source,konuGrubu
76 yaşında kadın hastaya dejeneratif eklem rahatsızlığı nedeniyle dizine protez yerleştirili­ yor. 1 hafta sonra kadında ateş ve eklem ağrısı şikayetleri baş gösteriyor. Eklem sıvısı aspire ediliyor 4 gün sonra kanlı agar yüzeyinde üreme ve mikroskopide de ARB (+) basiller görülüyor. Yukarıda bahsedilen kliniğe neden olan en olası mikroorganizma aşağıdakilerden hangisidir?,B,,Mycobacterium tuberculosis,Mycobacterium chelonae,Mycobacterium leprae,Mycobacterium kansasii,Mycobacterium avium complex,42.0,tipakademi.json,
Aşağıda verilen hızlı üreyen Mikobakteri­ ler grubuna ait bakterilerden hangisi santral venöz kateter kaynaklı enfeksiyona neden olur?,B,Kateter enfeksiyonuna neden olan S.epidermidis'in mukoid Slime'ını en çok çağrıştıran hangisi...M.mucogenicum :) Huzurlarınızda Mycobacterium mucogenicum ... :),Mycobacterium phlei,Mycobacterium mucogenicum,Mycobacterium xenopi,Mycobacterium smegmatis,Mycobacterium terrae,43.0,tipakademi.json,
"5 yaşında erkek çocuk, annesi tarafından üç gündür süregelen iştahta azalma, abdominal kramp ve kanlı diyare nedeniyle Enfeksiyon Hastalıkları Polikliniği'ne getiriliyor. Yapılan dışkı mikroskopisinde yoğun lökosit ve eritrosit görülüyor. Dışkı kültüründe MacConkey agarda laktozu fermente etmeyen gram negatif basiller ürüyor. TSI agarda H2S ve gaz oluştur­ mayan bakteri, soğukta da üretilemiyor. Bahsedilen bakterinin patogenezinde temel olarak hangisi yatmaktadır?",B,"Kanlı mukuslu diyare, Laktoz(-), H2S (-) gram negatif basiller, dışkıda hem eritrosit hem de lökosti var ... Basilli Dizanteri yani etken Shigella dysenteriae

Shigella Dizanterisi Patogenezi ... Mukozal İnvazyon ile ilişkilidir.

Dikkat!!! Amipli Dizanteri etkeni olan E.histolytica'da ise mikroskobide yoğun eritrosit olmasına karşın, lökosit beklemiyoruz.",Bakteriyemi,Mukozal invazyon,Ekzotoksin üretimi,İntestinal kolonizasyon,Lenf nodlarında proliferasyon,44.0,tipakademi.json,
C.difficile'ye bağlı meydana gelen kolitten sorumlu virülans faktörü (faktörleri) en önemli etki mekanizması hangisidir?,B,"Antibiyotik kullanımı sonrası ishal, kolit, psödomembranöz enterokolit ... C.difficile Klinikten sorumlu olan ... Toksin A, Toksin B",Mukozal invazyon,Rho protein inaktivasyonu ile hücre iskeleti bütünlüğünün bozulması,Kolera-benzeir toksin üretimi,Shiga-benzeri toksin üretimi,Protein sentez inhibisyonu,45.0,tipakademi.json,
"Antibiyotik kullanımı sonrası C.difficile'ye bağlı meydana gelen diyare tedavisinde kullanılan, bakterisidal etkili, minimal sistemik absorbsiyon gösteren, makrosiklik antibiyotik aşağıdakilerden hangisidir?",D,fi s •r.in RNA polimerazın sigma alt ünitesine bağlanarak etkinlik gösteren makrosiklik antibiyotiktir. Florayı Vankomisin ve Metronidazol'e göre daha az etkiler.,Vankomisin,Neomisin,Doksisiklin,Fidaksomisin,Metronidazol,46.0,tipakademi.json,
"42 yaşında kadın, derisinde renk değişikliği şikayeti ile başvuruyor. Yapılan FM'sinde duyu kaybı ve üst ekstremitelerde hipopigmentasyon göze çarpıyor. Yapılan sinir biyopsisinde Schwann hücrelerini enfekte eden mikroorganizmalar gözleniyor. Anti-HIV antikorları negatif gelen hasta için bahsi geçen klinikten sorumlu mikroorganiz­ mayla ilgili hangisi doğru değildir?",E,"Bahsedilen klinik Lepra'dır. Mycobacterium leprae'nın hücre içi olması nedeni ile Lepra'ya karşı savunmada esas Hücresel Yanıt önemlidir. Mycobacterium leprae, 37°C'de üreyememesi nedeni AC gibi iç organları tutmaz; yüzeye[ sinir, testis, farinks, göz, burun tutulumu gösterebilir. Lepra'nın iki formu bulunmaktadır: Tüberküloid, Lepramatöz. Hücresel yanıtı su prese olmamış kişilerde Tüberküloid; hücresel yanıtı suprese olmuş kişilerde ise Lepramatöz formu gözükmektedir. Anti-HIV antikorları negatif olması nedeni ile bahsedilen klinik Tüberküloid formudur. M.leprae'nın invitro kültürü yapılamamıştır. Makrofaj içerisinde küme yapmış basiller (Wirchow, Köpük hücresi) Lepramatöz Lepra'da gözükür ve kötü prognoz göstergesidir. Bunlar dışında Lepromin Cilt Testi aşırı duyarlılık reaksiyonu olup, pozitif gelmesi hücresel yanıtın sağlam olduğunu gösterir. Yani Tüberküloid tip Lepra'da pozitiftir.",İç organ tutulumu göstermez,Klinik hastanın hücresel immünitesine bağlıdır.,İn-vitro kültürü yapılamamıştır.,Makrofaj içerisinde küme yapmış basillerin gösterilmesi kötü prognoz kriteridir.,"Antikorlar, bahsi geçen bakteriye karşı savunmada çok önemlidir.",47.0,tipakademi.json,
Omeprazol tedavisi sonrası gastroenterite neden olabilen Vibrio cholera ile ilgili aşağıdakilerden hangisi doğru değildir?,B,Omeprazol tedavisi sonrası gastroenterit ... Vibrio cholerae,Alkalen pepton sıvı besiyerinde üretilebilir.,TCBS agarda yeşil renkli koloniler oluşturur.,Halofilik özellik göstermez.,Oksidaz (+)'tir.,Virgül şeklindedir.,48.0,tipakademi.json,
"Talasemi majör hastası 18 yaşındaki erkek hastanın öyküsünden denizde yüzerken ayağını kayaya çarparak yaraladığı öğreniliyor. İki gün sonra yara yerinde kızarıklık, şişlik ve ağrı ile birlikte büllöz lezyonlar gelişiyor.Birkaç gün içinde nekrotik ülserler ortaya çıkıyor ve enfeksiyon tüm bacağa yayılıyor. Septik şok tablosu ile yatırılan hastanın kan kültüründe gram negatif, kısa ve kıvrık basiller görülüyor. Bu hastada en olası etken aşağıdakilerden hangisidir?",C,"Deniz, deniz ürünü ile temas sonrası yara yeri enfeksiyonu, sepsis ... Vlbrio vulnificus Katrina kasırgası sonrası sepsis ... Vibrio vulnificus",Spirillum minus,Burkholderia mallei,Vibrio vulnificus,Bartonella henselae,Legionella micdadei,49.0,tipakademi.json,
"Midye, istiridye gibi deniz ürünlerinin tüketimi sonrasında gastroenterite neden olabilen mikroorganizma aşağıdakilerden hangisidir?",B,"Midye, istridye gibi deniz ürünlerinin yenmesi sonrası gastroenterit ... Vibrio parahaemolyticus",Vibrio chloreae,Vibrio parahaemolyticus,Listeria monocytogenes,Cryptosporidium parvum,Clostridium perfringens,50.0,tipakademi.json,
"34 yaşında erkek hasta gezi dönüşü abdominal ağrı, bulantı, kusma, sulu ishal şikayeti ile başvu­ ruyor. Herhangi bir antibiyotik tedavisi almadan birkaç gün içerisinde hastanın ishali geriliyor. Aşağıdakilerden hangisi bahsi geçen klinikten sorumludur?",D,"Bahsedilen vaka Turist Diyaresi'dir. Turist Diyaresi etken ETEC'tir. ETEC LT ile cAMP'yi, ST ile cGMP'yi artırarak sulu diyareye yol açar. Kolera Toksini, cAMP'yi artırmaktadır. Tuğla yığını yapısında aglütinasyon ... EAEC Shiga-like Toksin ... STEC (EHEC) İntestinal invazyon ... Shigella, EIEC gibi",«Tuğla yığını» şeklinde intestinal adezyon,Shiga-like toksin,Endotoksin üretimi,Kolera benzeri toksin,İntestinal invazyon,51.0,tipakademi.json,
Pastorella multocida ile ilgili aşağıdakiler­ den hangisi doğru değildir?,B,"Pasteurella multocida 

Kedi, köpek ısırığı sonrası deri ve yumuşak doku enfeksiyonuna neden olabilen gram (-) kokobasildir.

Kanlı ve Çikolata agarda üremesine karşın, Mac Conkey agarda üremez. Kültürde ürediğinde tipik fare benzeri koku vermektedir. Tedavisinde Penisilin kullanılır.","Kedi, köpek ısırığı sonrası deri ve yumuşak doku enfeksiyonuna neden olur.",MacConkey agarda şeffaf renkli koloniler oluşturur.,Gram negatif kokobasildir.,Kültürde ürediğinde fare benzeri koku verir.,Tedavisinde Penisilin kullanılır.,52.0,tipakademi.json,
Resim var,,,,,,,,53.0,tipakademi.json,
"Aşağıdaki bakterilerden hangisi yapısında bulunan pili, Opa veya lipopolisakkarit antijenlerini sıklıkla değiştirerek konağın immün cevabından kaçabilir?",A,,Neisseria gonorrhoeae,Haemophilus influenzae,Staphylococcus aureus,Legionella pneumophila,Yersinia enterocolitica,54.0,tipakademi.json,
Bir grup araştırmacı Neisseria gonorrhoeae için aşı geliştirmek istemektedir. Bu araştırmacıların karşılaştığı en önemli problem aşağıdakilerden hangisidir?,E,"Gonokoklar, antijenik yapılarını devamlı değiştirmek suretiyle çok sayıda farklı varyasyonlar meydana getirebilmektedir. Bu nedenle Gonokoklar'a karşı etkin bir aşı geliştirilememiştir.",Bakterinin çok küçük moleküler ağırlığa sahip olması,Bakterinin protein içeriğinin çok düşük olması nedeniyle yeterli immünizasyonun sağlanama­ ması,Endemik olduğu bölgelerde hastaların immunsupresif olması,Aşının maliyetinin çok yüksek olması,Bakterinin çok sayıda antijenik varyasyonu­ nun bulunması,55.0,tipakademi.json,
Aşağıdaki mikroorganizmalardan hangisi ürettiği Opa proteinleri ile konak epiteline yapışmaktadır?,B,"Gonokoklar'da pilus, adezyondan sorumludur. Pilisi olmayan Gonokoklar'da adezyondan sorumlu olan Opa proteinidir.",Neisseria meningitidis,Neisseria gonorrhoeae,Corynebacterium diphteriae,Mycobacterium tuberculosis,Staphylococcus aureus,56.0,tipakademi.json,
Gonokokal servisit düşünülen bir kadından alınacak genital salgı örneğinin aşağıdaki besiyerlerinden hangisine ekilmesi en uygundur?,C,"Thayer Martin, Newyork City besiyerleri Neisseria türlerini üretmek için kullanılan özel besiyeridir. Burada dikkat edilecek bir diğer nokta da Gonokok enfeksiyonu tanısı açısından erkek semptomatikse mlkroskopi veya kültür yapılabilirken; semptomatik kadında muhakkak kültür yapılması gerekir.",Kanlı agar,Çikolata agar,Thayer Martin besiyeri,Loeffler besiyeri,EMB agar,57.0,tipakademi.json,
Resim var,,"Şekilli, güzel bir soru ... Hücre içi ve dışında gram negatif kahve çekirdeği şeklinde diplokoklar

Gonore Tedavi: Tek doz Seftriakson (iM, 500 mg); şayet Klamidyal enfeksiyon dışlana­ madıysa Doksisiklin (100 mg oral, 2x7) ilave edilir. Seftriakson alerjisinde iM Gentamisin (240 mg, tek doz) + Azitromisin (2 g, oral, tek doz)",,,,,,58.0,tipakademi.json,
"Neisseria meningitidis, hiçbir semptom olmaksızın, hangi özelliği ile nazofarenkste kolonize olabilir?",D,"Meningokoklar, pilisi aracılığı ile asemptomatik bir şekilde nazofarinkste kolonize olabilir.",Koagülaz,Kollajenaz,Hiyalüronidaz,Pili,Porin proteinleri,59.0,tipakademi.json,
Tanısında bitürat esteraz testinin kullanıldığı bakteri aşağıdakilerden hangisidir?,B,"Bitürat esteraz testi ... Moraxella catarrhalis tanısında kullanılmaktadır.

Moraxella ile ilgili diğer bilmem gerekenler ... DNaz (+), Yüksek oranda Beta-laktamaz üretir. Kültürde kayan kolonileri tipiktir.",Neisseria meningitidis,Moraxella catarrhalis,Neisseria gonorrhoeae,Neisseria lactamica,Haemophilus influenzae,60.0,tipakademi.json,
Aşağıdakilerden hangisi bir enterik bakterinin serolojik olarak gruplandırılabil­ mesini sağlar?,E,O ve H antijenleri Gram Negatif Enterik Bakterilerin serolojik olarak gruplandırılmasını sağlar (Örneğin E.coli'nin alt türü olan 0:157 H:7'de olduğu gibi) O antijeni: Polisakkarid yapıdadır ve kendisine karşı lgM tipi antikorlar meydana gelir. H antijeni: Protein yapıdadır. Kendisine karşı lgG tipi antikorlar meydana gelir.,Peptidoglikan,Dış membran antijeni,Lipid A,Kor antijeni,O somatik antijeni,61.0,tipakademi.json,
Gram negatif basillerin hızlı tanısında kullanılan ve pozitif olması tanıyı Enterobacteriaceae'den uzaklaştıran test aşağıdakilerden hangisidir?,C,"Gram pozitiflerin ayrımında kullanılan ilk test ... Katalaz Gram negatiflerin ayrımında kullanılan ilk test ... Oksidaz Gram Negatif Enterik Basiller ... Oksidaz(-), Glukoz (+), Nitratı nitrite indirgerler, Fakültatif anaeroblardır.",Katalaz,Üreaz,Oksidaz,Safra tuzlarına direnç,Nitrat redüksiyonu,62.0,tipakademi.json,
Sorbitolü fermente etmeyen ve glukuronidaz üretmeyen E.coli türünün ürettiği toksinin etki mekanizması aşağıdakilerden hangisidir?,D,"Bahsi geçen E.coli STEC (EHEC)'tir. STEC, Shiga-like toksin üreterek 28 S rRNA inhibisyonu ile protein sentezini durdurmaktadır.",Adenilil siklaz enzim aktivasyonu,Guanilil siklaz enzim inhibisyonu,EF-2 inaktivasyonu,28 S rRNA inhibisyonu,Hücre iskeletinin parçalanması,63.0,tipakademi.json,
"42 yaşında erkek hasta dizüri, hematüri şikayetiyle kliniğe başvuruyor. Yapılan idrar analizinde gram negatif basiller gözleniyor. İdrardan yapılan kültürde üreyen bakterilerin laktoz(+) ve hareketsiz oldukları gözleniyor. Bu kliniğe neden olabilecek olası etken aşağıdakilerden hangisidir?",B,"Laktoz(+), Hareketsiz ve Kapsüllü ... Klebsiella",Escheria coli,Klebsiella pneumoniae,Pseudomonas aeruginosa,Acinetobacter baumanii,Proteus vulgaris,64.0,tipakademi.json,
Tekrarlayan Proteus mirabilis enfeksiyon­ ları olan 30 yaşında evli bir kadınla ilgili en önemli sorun aşağıdakilerden hangisidir?,D,"Gram negatifler'den Proteus, Gram pozitifler­ den de Corynebacterium urealyticum sahip oldukları üreaz enzimleri sayesinde üreden amonyak oluşturarak ortamın pH'sını yükseltir. Alkali hale gelen bu ortama da magnezyum-amonyum-fosfat gibi iyonlar çökerek böbrek taşı gelişimine neden olurlar. Bakteriler, bu taşın arkasına gizlenirlerek antibiyotikten kaçınmış olurlar. Bu durum da tekrarlayan idrar yolu enfeksi­ yonları gelişimine neden olur.",Hasta tedaviye uyunçsuzluk göstermektedir.,Hastanın partneri de aynı bakteri ile enfektedir.,Hastada insülin direnci olabilir.,Hastanın mesane ya da böbreğinde taş mevcuttur.,Hasta hamile olabilir.,65.0,tipakademi.json,
Aşağıdaki bakterilerden hangisinin yaptığı enfeksiyon sırasında idrarda amonyak kokusu tipiktir?,A,"Gram pozitiflerden C.urealyticum, Gram negatiflerden de Proteus sahip oldukları üreaz enzimi sayesinde üreden amonyak oluştururlar. Bu nedenle de yaptıkları idrar yolu enfeksiyonu kliniğinde meydana gelen idrarda amonyak kokusu tipiktir.",Corynebacterium urealyticum,Escherichia coli,Helicobacter pylori,Salmonella enteridis,Shigella sonnei,66.0,tipakademi.json,
"Tavuk yedikten 12 saat sonra karın ağrısı, bulantı ve ishal yakınmaları başlayan bir hastanın dışkı kültüründe üreyen laktoz negatif, H2S pozitif ve gram negatif bakteri aşağıdakilerden hangisidir?",B,H2S ve Hareket pozitifliği ile Salomonella'lar Shigella'lardan ayırt edilmektedir. Verilen vaka tavuk kaynaklı meydana gelen bir Non-Tifoidal Salmonella kliniğidir.,Shigella dysenteriae,Salmonella enteritidis,Pseudomonas aeruginosa,Escherichia coli,Campylobacter jejuni,67.0,tipakademi.json,
Aşağıdaki bakterilerden hangisi üç şekerli demirli besiyerinde (TSI agar) H2S üretmez?,B,H2S ve Hareket pozitifliği ile Salomonella'lar Shigella'lardan ayırt edilmektedir.,Citrobacter freundii,Shigella flexneri,Salrnonella typhi,Proteus mirabilis,Edwardsiella tarda,68.0,tipakademi.json,
Resim var,,Shigella'nın patojenitesi Salmonella'ya göre çok daha yüksektir. Gastroenteriti için 100 civarı bakteri yeterli olabilmektedir.,,,,,,69.0,tipakademi.json,
"Sepsis şüphesiyle alınan örnekte gram boyamada bipolar boyanan, katalaz pozitif, üreaz negatif mikroorganizmalar izole edilmiştir.

Bundan sonra yapılması gereken aşağıdakilerden hangisidir?",C,"Bipolar boyanma, üreaz negatifliği, sepsis kliniği ... Yersinia pestis'i düşündürmektedir. Yersinia pestis, Biyoterörizm Kategori A etkeni olup, şüphelenildiğinde örnek doğrulama amacı ile en yakın halk sağlığı laboratuvarına gönderilmelidir.",Laboratuvar tanıyı kesinleştirdiği için bundan sonra bir şey yapmaya gerek yoktur.,Otomatize sistem ile tanı doğrulanmalıdır.,Doğrulama için en yakın halk sağlığı laboratuvarına örnek gönderilmelidir.,Dizi analizi yapılmalıdır. Eğer mevcut hastanede mümkün değilse en yakın hastaneye gönderilmelidir.,Olası bir biyoterörizm riski nedeniyle güvenliğe haber verilmelidir.,70.0,tipakademi.json,
"Şiddetli alt kadran karın ağrısı ve ishali olan bir hastanın dışkı örneğinde laktoz negatif, oda ısısında hareketli ve üreaz pozitif gram negatif basil üremektedir. En olası mikroorganizma aşağıdakilerden hangisidir?",C,,Proteus vulgaris,Salmonella Typhimurium,Yersinia enterocolitica,Shigella flexneri,Enterohemorajik E. coli,71.0,tipakademi.json,
"Kronik hemolitik anemili bir hasta kan transfüzyonu sonrası apandisit benzeri bulgularla hastaneye kaldırılmıştır. Yapılan testlerde oksidaz (-),laktoz(-) üreaz (+) gram negatif basiller tespit edilmiştir. Bu kliniğe neden olan mikroorganizma için aşağıdakilerden hangisi doğrudur?",E,"Yersinia pestis, üreaz (-) ve hareketsiz olması nedeni ile diğer Yersinia'!ardan ayrılmaktadır. Kan transfüzyonu sonrası gastroenterit, psödoapandisit vakası ... Yersinia enterocolitica (üreaz +) Yersinia'lar psikrofil bakteriler olup, oda ısısında hareketli insan vücudunda hareketsizdir.",Sitrat testi pozitiftir.,İndol testi negatiftir.,Metil red testi negatiftir.,Lizin dekarboksilaz enzimi pozitiftir.,"Oda ısısında hareketli, insan vücudunda hareketsizdir.",72.0,tipakademi.json,
"Yoğun bakım ünitesinde yatan, ventilatöre bağlı hastanın alt solunum yolu örneğinde gram negatif basiller gözlenmiştir. Oksidaz (+) olarak belirlenen bakteri kanlı agarda mukoid, beta hemoliz yapan koloniler oluşturmuştur. 42°C'de üreyebilme özelliği dikkat çeken bakterinin disk difüzyon testi sırasında besiyerinde yeşil pigment oluşturduğu gözlemlenmiştir. Bu bakterinin TSI agara ekimi sonucunun nasıl olmasını beklersiniz?",C,,"Tamamen sarı, gaz oluşumu var","Tamamen sarı, gaz oluşumu yok",Renk değişikliği yok (pembe-pembe),üst kısmı pembe alt kısmı sarı,Tamamen siyah,73.0,tipakademi.json,
Bir önceki soruda bahsi geçen hastanın etkene yönelik tedavisinde başlangıç için hangisini vermek en uygundur?,B,"42°C'de üreyebilen, mavi-yeşil pigment oluşturan, oksidaz (+), non-fermenter bakteri ... Pseudomonas aeruginosa Non-fermenter bakteriler TSI agarda ... Alkali-Alkali (Sarı-Sarı) reaksiyon verirler. 

Sefepim ... 4.Kuşak Sefalosporin olup, özellikle Pseudomonas aeruginosa enfeksiyonlarına karşı iyi etkinlik göstermektedir.",Seftriakson,Sefepim,Doksisiklin,Moksifloksasin,TMP-SXT,74.0,tipakademi.json,
Aşağıdaki bakterilerden hangisinin oksidaz testi pozitiftir?,D,,Escherichia coli,Acinetobacter baumannii,Stenotrophomonas maltophilia,Burkholderia cepacia,Pantoea agglomerans,75.0,tipakademi.json,
Aşağıdakilerden hangisi Pseudomonas aeruginosa'nın özelliklerinden biridir?,E,,Glukozu fermente etmesi,İndol reaksiyonunun pozitif olması,Laktozu fermente etmesi,H25 üretmesi,42 °c de üremesi,76.0,tipakademi.json,
Kemik iliği transplantasyonu yapılmış bir hastada gözlenen ektima gangrenosumun etkeni aşağ1dakilerden hangisidir?,C,"Ektima gangrenosum ... Pseudomonas aeruginosa invazı g rı1 n-, .. ı Pseudomonas aeruginosa enfeksiyonları için anahtar kelimelerdir.",Serratia marcescens,Enterobacter aerogenes,Pseudomonas aeruginosa,Citrobacter freundii,Morganella morganii,77.0,tipakademi.json,
"Hastanede yatan nötropenik bir hastanın kan kültüründen izole edilen mikroorganizma sulfometoksazol trimetoprime duyarlı ancak sefalosporinlere, aminoglikozidlere, imipeneme ve kinolonlara dirençlidir. Bu mikroorganizma aşağıdakilerden hangisi olabilir?",D,TMP-SXT'ye duyarlı Çoklu ilaç direnci gösteren P.aeruglnosa ve Acinetobacter'de ... Kolistin,Pseudomonas aeruginosa,Acinetobacter baumannii,Burkholderia cepacia,Stenotrophomonas maltophilia,Citrobacter freundii,78.0,tipakademi.json,
"Menenjiyom nedeniyle ameliyat edilen ve yoğun bakım ünitesinde 14 gün yatan 68 yaşındaki hastada menenjit bulguları gelişmesi üzerine BO5 örneği alınmıştır. Bu örnekte bol nötrofil ve Gram(-) kokobasiller görülmüş ve kültürde üreyen kolonilerin oksidaz (-), hareketsiz ve nonfermentatif özellikte olduğu saptanmıştır.

Bu klinik tabloya yol açan etken en büyük olasılıkla aşağıdakilerden hangisidir?",B,,Pseudomonas aeruginosa,Acinetobacter baumannii,Neisseria meningitidis,Haemophilus influenzae,Alcaligenes faecalis,79.0,tipakademi.json,
"Kanlı ishal yakınması ile gelen hastanın dışkısında eritrosit ve lökosit saptanmıştır. Yapılan kültürde beta hemolitik, laktoz ve oksidaz pozitif, glukozu fermente eden ve 0/129'a dirençli gram negatif basil üremiştir. Bu hastada ön tanı aşağıdakilerden hangisidir?",B,"Aeromonas, Vibrio'[ardan farklı olarak 0/129 bileşiğine dirençlidir.",Shigella,Aeromonas,Pleisomonas,Vibrio,Campylobacter,80.0,tipakademi.json,
Aşağıdaki ishal etkenlerinden hangisi Ciuillain-Barre sendromuna neden olur?,E,"* Campylobacter jejuni ... Tavuk yeme öyküsü sonrası kanlı ishal, 42°C'de ürer, mikroskopide martı kanadı (tribüşon) şeklinde kıvrık basiller, Ciuillain-Barre sendromu (akut demyelinizan hastalık)",Salmonella enteritidis,Yersinia enterocolitica,Bacillus cereus,Escherichia coli 0157:H?,Campylobacter jejuni,81.0,tipakademi.json,
"Eklem ağrısı, gece terlemesi, tekrarlayan ateş ve pastörize olmayan peynir yeme öyküsü olan bir hastanın yapılan kan kültüründe parlak, küçük koloniler görülüyor. Gram(-) kokobasil şeklinde izlenen bakteri üreaz pozitif bulunuyor. Bu hasta için en olası tanı aşağıdakilerden hangisidir?",B,,Lejyonellozis,Brusellozis,Tüberküloz,Listeriozis,Nokardiozis,82.0,tipakademi.json,
Brucella serolojisinde de görülebilen blokan antikorların varlığını nasıl gösterebiliriz?,B,"Brucella ... Pastörize olmamış süt ürünlerinin yenme öyküsü, ondülan ateş, eklem ağrısı, lenf bezlerinde ve dalakta şişme.",Serumu dilüe ederek,Coombs testi,Üreaz testi ile,Katalaz testi ile,Tüp koagülaz testi ile,83.0,tipakademi.json,
"Gram boyama ile zayıf boyanan, zorunlu aerob olan, BCYE agarda üreyen, bulaşında klima ve suların önemli olduğu bakteri aşağıdakilerden hangisidir?",A,,Legionella,Nocardia,Aktinomyces,Pseudomonas,Acinetobacter,84.0,tipakademi.json,
Aşağıdaki gram negatif bakterilerden hangisi septik şok kliniğine yol açmaz?,D,"Bacteroides fragilis, lipopolisakkaridinin zayıf özellik göstermesi nedeni ile septik şok kliniğine neden olmamaktadır.",Proteus mirabilis,Klebsiella pneumoniae,Pseudomonas aeruginosa,Bacteroides fragilis,Escherichia coli,85.0,tipakademi.json,
Resim var,,,,,,,,86.0,tipakademi.json,
"Gri renkli, balık kokulu vajinal akıntısı olan genç bir kadın hastada akıntının mlkros­ kopik incelemesinde geniş epitel hücreleri ve Gram(-) veya Gram değişken basiller görülmektedir. Bu hastada etken olarak aşağıdakilerden hangisi düşünülmelidir?",B,,Trichomonas vaginalis,Gardneralla vaginalis,Treponema pallidum,Candida albicans,Lactobacillus,87.0,tipakademi.json,
Anaerop bakterilerin primer izolasyonunda fenil etil alkol besiyeri kullanılmasının amacı aşağıdakilerden hangisidir?,C,Fenil Etil Alkol besiyerinde gram (-) fakülta-tif bakterilerin üremesi baskılanmaktadır. Bu besiyeri aynı zamanda Proteus 'un hareketini de durdurmaktadır.,Genel üretim besiyeri olması,Lipaz ve lesitinaz aktivitelerini saptaması,Fakültatif Gram(-) basillerin üremelerini baskılaması,Gram(+) bakterilerin üremelerini baskılaması,Pigmentli bakterilerin pigment oluşumunu hızlandırması,88.0,tipakademi.json,
Patogenezinde soğuk aglütininler olan pnömoni etkeni aşağıdakilerden hangisidir?,D,"Soğuk antikorlar ... lgM tipi antikorlar olup, Mycoplasma pneumoniae tanısında kullanılabilir.",RSV,Legionella pneumophilia,Chylamydia pneumoniae,Mycoplasma pneumoniae,Pneumocystis jirovecii,89.0,tipakademi.json,
Clostridium difflcile ön tanısında kullanılan enzim hangisidir?,B,Glutamat Dehidrogenaz enzimi Clostridium difficile ön tanısında kullnılmaktadır.,Sitokrom oksidaz,Glutamat dehidrogenaz,Katalaz,Koagülaz,Fagozit oksidaz,90.0,tipakademi.json,
"Orman köyünde yaşayan 25 yaşındaki erkek hasta, boğaz ağrısı ve yutkunma güçlüğü şikaye­ tiyle geliyor. FM'de eksudatif membranla kaplı tonsillit ve boğazda yaygın lenfadenomegali saptanıyor. Hastaya on gün süreyle amoksisilin-klavulinik asit tedavisi veriliyor. Tedavi sonucunda klinik tabloda herhangi bir düzelme saptanmıyor. Olası etken aşağıdakilerden hangisidir?",E,"Beta-laktam tedavisine yanıt vermeyen tonsillit, fistülize olabilen lenfadenomegali varlığında aklımıza Tularemi gelmelidir.",Adenovirüs,Streptococcus pyogenes,EBV,HSV-1,Francisella tularensis,91.0,tipakademi.json,
Sfiliz'in hangi dönem ya da dönemlerin­ de etken karanlık alan mikroskobu ile klinik örnekten izole edilip izlenebilir?,B,Primer ve sekonder evrede bakterinin bulunması nedeni ile tanıda karanlık saha mikrokobu kullanılabilir. Tersiyer evrede bakterinin olmaması nedeni ile bu evrede bakterinin tanısında Seroloji kullanılmaktadır.,1,1 ve il,111,111 ve iV,iV,92.0,tipakademi.json,
Aşağıdaki laboratuvar tanı yöntemlerin­ den hangisinin Treponema pallidum tanısında kullanımı uygun değildir?,D,Sifiliz tanısında İnvitro kültürün yeri yoktur.,Karanlık saha mikroskobu,Direkt Floresan Antikor Yöntemi,Serolojik yöntemler,İnvitro kültür,Nükleik asit amplifikasyon testleri,93.0,tipakademi.json,
Kanlı agara düz bir hat boyunca (3-hemoliz yapan Staphylococcus aureus ve arkasından bu hatta dik olarak test edilen bir Streptokok türü ekilmektedir. Normal atmosferde inkübasyon sonrasında her ikiçizginin kesiştiği bölgede test edilen bakteriye doğru hemoliz artışı izlenmektedir. Test edilen Streptokok türü aşağıdakilerden hangisidir?,C,Yukarıda bahsedilen test CAMP testi olup Grup B Streptokok (S.agalactia) ve Listeria tanısında kullanılabilmektedir.,S. bovis,S.pyogenes,S. agalactiae,S. pneumoniae,S. anginosus,94.0,tipakademi.json,
Streptococcus agalactia'nın vajen taşıyı­ cılığını gösterme amacıyla gebe kadınlardan 35-37. haftalarda alınan örneklerin ekildiği özel besiyeri aşağıdakilerden hangisidir?,D,"S.agalactia (Grup B Streptokok)'nın tanısında kullanılan özel besiyeri LIM agardır (BiLIMsel AGAR:). Thayer Martin besiyerl... Neisseria türleri için, Çikolata agar ... Neisseria ve Haemophilus influenzae'yı üretmek için kullanılır. LIM agar ... Grup B Streptokoklar için, CiN agar ... Yersinia için kullanılmaktadır.",Thayer Martin,BCYE agar,Çikolata agar,LIM agar,CiN agar,95.0,tipakademi.json,
"33 yaşında erkek hasta, ateş, keyifsizlik, el ayası ve ayak tabanında döküntü şikayeti ile başvuru­ yor. Hasta serumu kardiyolipin, lesi tin ve koleste­ rol ile muamele edildiğinde flokülasyon görülü­ yor. Bir sonraki basamakta yapılması gereken nedir?",D,,Soğuk aglütinin bakmak,Bakteriyel toksin araştırmak,Fungal antikorlara bakmak,Spiroket antikorları araştırmak,Romatoid faktör bakmak,96.0,tipakademi.json,
Resim var,,,,,,,,97.0,tipakademi.json,
