soru,cevap,cevaplayan_unvan
"merhaba, 20,03,2023 tarihinde ahmet ve veli isimli iki kişi tarafından kiralık olan dairemi tutmak icin anlaşıldı. watsapp üzerinden ahmet ve veli isimli şahıslar tc kimliklerini ve adlarını soyadlarını paylaştılar. kira kontratı ahmet isimli şahıs üzerine bilgisayar ortamında düzenlendi veli isimli şahısta kefil olacaktı fakat kontrat imzalanırken kimlik yanımda yok vs bahaneleriyle kefil olarak kontrata yazılmadı. (bu arada imza bölümleri isimleri kalem ile dolduruldu) kira düzenli olarak kira sözleşmesinde ismi bulunan kişi ahmet tarafından resmi hesabıma yatırıldı. son üç aydır veli isimli kişi(kira kontratında ismi yok kefil olmaktan vazgecen şahıs ismi sadece watspp yazışmasında geciyor kontrat öncesi) tarafından hesabıma yatırılıyor. bunu farkettikten sonra kendilerine sözleşmenin ahmet le olduğunu veli tarafından yatırılan kiraların iade edileceği iletildi. evim şehir dışında son aldığım komşu bilgisine göre ahmet isimli şahıs sözleşmeyi yaptığım evden taşınmış ve evde sadece veli isimli şahıs ve yanına aldığı bikac kişi kalıyormuş (bu arada evim eşyalı ev) Kiram yine veli isimli şahıs hesabıma kira bedeli olarak gönderirse iade etme ve ahmet tarafından gönderilmesini isteme hakkım varmı. ikametgah bilgileri değişti ve ahmet isimli şahıs ikametgahını evden taşıdıysa veli isimli şahsın evden cıkmasını isteme hakkım mevcutmudur. kira kontratında alt sözleşme yapmama ve devir edememe maddesi mevcut. son olarak bununla ilgili karakola başvurup evde kimlerin ikamet ettiğini öğrenmek istediğimi belirtsem ilerde yararı olabilirmi. şimdiden teşekkürler iyi calışmalar","Merhaba, söz konusu sizin durumunuzda kira kontratında alt sözleşme yapmama ve devir etmeme maddesi olduğu için yani söz konusu kiracınız, kiralananı alt kiraya verme yetkisine sahip olmadığı için kiracının, kiralananı alt kiraya verme hakkı bulunmamaktadır. Bu durumda veli isimli şahıs hesabınıza kira bedelini gönderirse iade etme ve asıl kiracınız olan Ahmet isimli şahıs tarafından gönderilmesini isteme hakkınız vardır. Zaten sizin Veli isimli şahıs ile herhangi bir kira sözleşmeniz bulunmadığı için evden çıkmasını isteme hakkınız vardır. Aynı zamanda şu an evinizde kimlerin kaldığının tespitini de isteyebilirsiniz.",Hukuk Bilgi Platformu
40 yıl evliyken eşim vefat etti. Bizim çocuğumuz yok. Eşimin ablası da hiç evlenmedi. Anneleride eşimin vefatından sonra vefat etti.ablası bir evin belirli hissesini annesine vermiş ... Annenin vefatından sonra veraset çıkarttım . Anneden kalan hissede hakkım olduğunu öğrendim. Ablanın başka mallarıda var. Benim bu mallarda hakkımın olup olmadığını sormak isterim.,"Merhaba, vefat eden eşinizin ablasına ait olan mallarda eğer eşinizin sağlığında aralarında bazı malların eşinize ait olacağına dair yaptıkları bir anlaşma veya sözleşme yoksa size miras hakkı düşmemektedir.",Hukuk Bilgi Platformu
"Ankara afet ve acil durum yönetimi Başkanlığı’nda daire başkanı olarak sekiz ay vekaleten onayda asaleten daire başkanı olarak görev yaparken, Benim isteğimi dışında ve talebim olmadan bir alt kadro olan Sakarya il Müdürlüğü’ne il afet acil durum müdürü olarak atandı. Daire başkanı olarak bulunduğum kadronun göstergesi 4200 atandığım kadronun ek göstergesi 3600. Daire Başkanlığı kadrosundan ötesi patlanı yararlanabilme için en az iki yıl kesintisiz çalışmam gerekmekte ve bu kadrodan emekli olduğum taktirde Müptezel hakları yararlanabilmekdeyim.. Emekli maaş maaş bağlanması konusunda il müdürlüğü ile daire müdürlüğü arasında ciddi maaş farkı bulunmakta aylık maaş konusunda ise yine arada ciddi maaş farkı bulunmaktadır. Bu konuda idare Mahkemesi’ne başvurmam halinde davayı kazanma durumum nedir bunu öğrenmek isterim.","Merhaba, söz konusu sizin durumunuza ilişkin olarak mahkemeye başvurabilirsiniz. Fakat hiçbir davada kesinlik belirtmek uygun olmadığı gibi açacağınız davada da kesinlik belirtmek doğru olmayacaktır. Çünkü dosya içeriğine göre nihai kararı veren hakimdir.",Hukuk Bilgi Platformu
"Merhaba biz iki ay önce emlakçıdan bir daire kiraladık apartman son aşamadaydı sadece doğalgaz bağlanması bir ayı bulur dediler tamam dedik taşındık. Sular yoktu iki hafta sonra geldi,doğalgaz hala bağlanmadı asıl olay ise elektrikle alakalı oldu ; Şantiye elektriği kullanılıyordur ve sürekli bir iki gün süren kesintiler oluyordu en son 19 ocakta tedaş gelip yapacak dedi emlakçı daha sonra da yaptılar mı yapmadılar bilgi verilmedi.Geçen gün ise elektrikler kesildi birden aşağıya indim ana şartele ve saatlerin takılı olduğu gördüm ve apartmanda oturan 4 daireydik zaten gediz 4 saatede ceza kesmiş 24 er bin tl. Şantiye şefide sizin ödemeniz lazım bu cezayı kaçak kullanım için kesilmiş bu ceza diyor. Saatlerin takıldığını, hangi saatin bizin olduğunu abo noyu falan hiç bir şeyi söylemediler gidin aboneliği üstünüze alın demediler şimdide elektriğimizi kesmekle tehdit ediyolar borcu yatırıp aboneliği üzerine alın diyolar nasıl bir yol izlemeliyiz","Merhaba, bu konuya ilişkin olarak emlakçı ile yaptığınız sözleşmede şantiye elektriği kullanılacağına ilişkin bir hüküm var mıydı veya size bu hususa ilişkin bir bilgilendirme yapmış mıydı? Eğer bu hususa ilişkin herhangi bir bilgilendirme yapmadıysa müteahite ve emlakçıya dava açabilirsiniz. Söz konusu borcu yatırsanız bile müteahite ve emlakçıya rücu edebilirsiniz.",Hukuk Bilgi Platformu
Bi kamu kirulusunda 15 yildir calisiyorum..fakat baska bir sehire gecici gorvle gonderildim 13 yildir bu sekilde calismama ragmen gecici gorev ucretimi hic bir zaman alamadim..yasal hakkim nedir acaba,"Merhaba, söz konusu sizin durumunuza ilişkin olarak başka bir şehire geçici görevle gönderilmeniz dolayısı ile; katlanmak zorunda olduğunuz giderlerin karşılığı olarak 6245 sayılı Harcırah Kanunu hükümlerine göre geçici görev ücreti almaya hakkınız bulunmaktadır. Bu konuya ilişkin olarak idare Mahkemesinde dava açabilirsiniz.",Hukuk Bilgi Platformu
Eşimi kaza geçirmişti avukat aradı kendisine vekalet vermez takdirde tazminat alacağını söyledi Bir de önden 45 bin lira yolladı biz kendisine vekalet verdik ak sigorta da 240.000 lira kendisi almış bir de 45 bin liradan başka para vermedi istek daha ay sonra para istediğimizde söyledi biz parayı aldığından itibaren 5 ay sonra avukat suçlarına bakan savcıya ifade vererek suç duyurusunda bulunduk kimlere de yazdık şikayet hakkımız 6 ay olduğu için bu başvurularımız şikayet süresini keser mi tekrar mahkeme açmamız gerekir miydi 6 ay dolmadan,"Merhaba, siz zaten parayı aldığından itibaren 5 ay sonra suç duyurusunda bulunmuşsunuz. Bu sebeple herhangi bir hak kaybınız olmaz. Tekrardan şikayet etmenize gerek bulunmamaktadır.",Hukuk Bilgi Platformu
Merhaba geçtiğimiz kasım psikiyatride yatarken bı hasta bakıcıyla tanıştım 32 yasinda erkek başlarda abi olarak yaklaştı sürekli olarak yanımda oldu duygusal olarak iyi durumda değildim herkesten farklı ilgilendi daha sonrasında dışarda olduğu zamanlarda beni içerdeki ankesörlü telefondan sürekli aradı bana vaatler sundu bana kendini inandırdı ve sevgili olduk sevgili olduktan sonra içerdeyken bana sarıldı öptü dokundu ulaşabileceğimiz kamera kayıtları da illaki vardır bu bir suç arz ediyor mu dava açabilir miyiz şu anda sevgili değiliz içerde yaşadıklarımız suç teşkil eder mi? 20 yaşındayım. Bipolar hastasıyım.,"Merhaba, eğer karşı taraf sizin rızanız dışında size sarılıp dokunduysa tabii ki suç teşkil etmektedir. Savcılığa karşı tarafın sarkıntılığından dolayı suç duyurusunda bulunabilirsiniz. Savcı uygun gördüğü takdirde kamu davasını açacaktır. Fakat söz konusu olay anına ilişkin kamera kayıtlarını bulabilirseniz ve şikayet dilekçenize eklerseniz sizin için sağlam bir delil oluşturacaktır.",Hukuk Bilgi Platformu
Bosanma davası açsam birş kız 7 yaşında oğlan 4 yaşında benden alabilir mi,"Merhaba, Boşanma davasında çocukların velayetinin kesin olarak anneye bırakılması ile ilgili bir hüküm bulunmamaktadır. Mahkeme, çocuğun yüksek yararını gözeterek hangi yaşta olursa olsun velayeti babaya verebilir. Fakat büyük bir istisnai durum yoksa 0-7 yaş aralığındaki çocukların yaşının küçük olması, anne şefkatine ve bakımına ihtiyaç duyması sebebiyle velayeti anneye verilir.",Hukuk Bilgi Platformu
Selam efendim benim maduriyetim babam kanserdi yataginda suguru da yerinde deildi abim noterden adam getirtip tum malvarligini kendi uzerine deil arkadasinin uzerine gecirtti tabiki biz daha kucuguz ozaman ve yaklasik 4 yil sonra tum mali arkadasinin uzerinden geri kendi uzerine aldı simdi ise benim vicdanima kalmış bisey ister veririm ister vermem dedi ve bizimle irtibatı kesti bu durumda malvarligini uzerine ilk alan arkadasi benim bu kardesinizin yaptigi vicdanima sigmadi dava acin ben size sait olacağim dedi bu durumda biz hakkimizi alabilirmiyiz NOT 4 kardesiz ve babam rahmetli olali yaklasik 30 yil oldu simdi arazimizi villa yapan bir mutahite vermis karsiliginda 2 villa alacakmis bunuda mutahit enistemin arkadasi cikti tesaduf ogrendik efendim.şimdiden teşekürler,"Merhaba, söz konusu sizin durumunuzda; babanızın ayırt etme gücü olmaksızın abiniz, malvarlığını önce arkadaşına sonra kendi üzerine geçirdiği için siz bu işlemlerin iptalini dava edebilirsiniz.",Hukuk Bilgi Platformu
Merhaba 2024 şubat ayını çalışıp işten ayrılmak istiyorum ama şubat ayında 2 gün ücretsiz iznim var ve ay 29 çekiyor net maaşım zaten eksik yatıcak asgeri ücretli çalısanım brütümden de eksik günlerim düşüyormu son aldıgım brüt normalden düşük yatarsa eğer aldıgım tazminatta ona göre düşer mi,"Merhaba söz konusu tazminat, çalışanın işyerinde çalıştığı her bir yıl süresi için, brüt ücretin 30 günlük tutarıdır ve kaç yıl çalıştıysanız en son aldığınız brüt ücret ile çalıştığınız yıl çarpılır.",Hukuk Bilgi Platformu
Sosyal güvenlik yönünden 4/C kapsamında üçret ve diğer sosyal haklar yönünden iş hukuna tabi tabi olarak çalışmakta ilken (işçi sendikasına üyeyiz ve toplu iş Sözleşmesi yapıyoruz ) 15/4/2020 tarihinde kurumumca 62 yaşında resen emekliye sevk edildim. Konuyu idari yargıya taşıdım. Yerel idare mahkemesi ve bölge idari mahkemesinde dava aleyhime Danıştayda lehime sonuçlanması üzerine bölge idare mahkemesine geri gönderilen lehte karar bölge idare mahkemesindede lehimize karar düzeltmesi yapılarak kuruma ve bize 08/01/2024 tarihinde tebliğ edildi. Ancak yargı süreci bitmeden emekli sandığındaki yaş haddi olan 65 Yaşını lehteki karar tarihinden bir yıl önce 05/02/2023 tarihinde doldurdum. Şimdi işveren yoksun kaldığım tüm haklarımı ödeyerek 65 yaşımı doldurduğum tarih 05/02/2023 itibariyle emeklilik işlemlerimi yapmaktadır. Kıdem tazminatını da bu tarih te geçerli olan tavandan hesaplayıp ödemek istiyor. Böyle yaparsa ödeme tarihine kadar faiz ödemek zorunda deyimidir. Veya lehime sonuçlanan yargı kararı tarihinde geçerli olan kıdem tazminatı üzerinden mi ödeme yapmalıdır. Çünkü yaş haddinden emekli tarihim ile karar arasında bir yılı aşkın zaman var ve 2023 yılı kıdem tazminatı ile 2024 yılı kıdem tazminatı arasında da büyük fark var. Birde işverenin tek taraflı ve kamu Gücüne dayalı kararı sonrası meydana gelen bir işlem be bu işlemin yargı tarafından hukuka uygun olmadığı kararı göz önüne alınarak Resen Emekli edildiğim tarihte tarafıma ödenen kıdem tazminatı be diğer sosyal ödeleri şimdi alacağım haklarımdan tahsil ederken yasal faiz uygulaması doğru mudur?,"Merhaba, lehinize sonuçlanan yargı kararı tarihinde geçerli olan kıdem tazminatı üzerinden ödeme yapılabilmektedir.",Hukuk Bilgi Platformu
"merhaba, idare mahkemesinde görülen göreve iade dosyamda yaklaşık 2 ay önce iptal kararı çıktı. kararın hüküm kısmında işlemin iptaline şeklinde bir hüküm olmadığı için idare göreve başlatmıyor. mahkemeye verdiğim tavzih dilekçesinde de ayrıca detaylı bir şekilde durumu açıklamama rağmen gelen cevapta yapılan hatanın sehven yapıldığı ancak ""dava konusu işlemde hukuka uygunluk bulunmadığına karar verilmesine rağmen, bu kararın nihai sonucu olarak Mahkememizce sehven kararın hüküm kısmına dava konusu işlemin iptaline ilişkin nihai karar hükmünün yazılmadığı anlaşılmakta ise de, davacı hakkında yapılan yargılama sonucunda dava konusu işlemde hukuka uygunluk bulunmadığı kanaatine varılması dava konusu işlemin iptaline karar verilmesi gerektiğinin tabii sonucu olmakla birlikte "" diyerek tavzih talebinin reddine karar verildi. ben bu karara karşı nasıl bir yol izlemeliyim, idare halen göreve başlatmıyor ne yapmalıyım. ilginize teşekkürler","Merhaba, söz konusu sizin durumunuza ilişkin olarak idare mahkemesi göreve iade dosyanızda iptal kararı vermiş. Fakat kararın hüküm kısmında işlemin iptaline şeklinde bir hüküm olup olmaması esasa ilişkin bir durum değildir. Yani mahkemenin sehven kararın hüküm kısmına dava konusu işlemin iptaline ilişkin nihai karar hükmünün yazılmamış olması neticeyi etkilememektedir.",Hukuk Bilgi Platformu
"Merhabalar. İstanbul Beyoğlu´na bağlı Cihangir Firuzağa da olan dairemi emlakçı aracılığı ile Temmuz 2019 da 2bin TL´ye Izmir de yaşayan bi anne baba kızı için tuttu..ve fakat sonrasında yanına hep bir kız arkadaş alarak kirayı ve evi paylaştılar. Bu arada boyalı badanalı tertemiz verdiğim daireyi epey yıpratmışlar ve evde bizim kitaplık olarak kullandığımız duvar rafını söküp beyaza boyayıp ayakkabılık olarak kullanmışlar:( Bir senedir satmaya çalıştığım dairede halen 6250._TL ye oturmaya devam etmekteler. 5 Temmuz´da 5 yılımız dolacağı için gerekirse kira tespit davasına gitmek ve 18bin TL talep etmek istiyorum. Bu talep için çekeceğim ihtarname noterden zorunlu mudur? Ailenin Izmir adresini bilmediğim için, kirada ki dairemin adresine bu ihtarı göndermek uygun mudur? Whatsapp üzerinden bu talebimi iletsem mahkemece kabul görür mü? Bu arada araştırmalarımdan, mahkeme benim talebimden de bi indirim yapabilir diye biliyorum? 18 bin TL den düşük bi tutara karar verilirse mahkeme ve vekalet masrafları yine de kiracidan karşılanır mı? kira tespit davasında mahkemenin arabuluculuk ve sonrasında izleyeceği yol ne olmaktadır? Bu kadar soru ile sizleri meşgul ettiğim için üzgünüm ve zamanınızı bana ayıracağınız için de çok çok teşekkür ederim.. iyi çalışmalar ve kolaylıklar dilerim.. Saygılarımla.","Merhaba, Kira tespit davasının açılabilmesi için kiracıya noterden ihtarname gönderilmesi şart değildir. Tercihinize bağlı bir durumdur. Eğer ihtarname göndermek isterseniz kiradaki dairenizin adresine gönderebilirsiniz. İhtarname yasal bir zorunluluk olmadığı için WhatsApp üzerinden de bu talebinizi iletebilirsiniz. Mahkeme sizin söz konusu kira artışı için öngördüğünüz tutarı dikkate alacaktır fakat öncelikle rayiç bedel hesap edilecektir. Bu sebeple sizin öngördüğünüz tutarın altında bir miktara da hükmedilme ihtimali mümkündür. Böyle bir durumda davanın kısmen kabulü kısmen reddi söz konusu olursa miktardaki artış oranında taraflar arasında mahkeme ve vekalet masrafları bölüşülebilmektedir.",Hukuk Bilgi Platformu
Kolay gelsin. Bir şirkette 5 yılı geçkin vinç operatörlüğü yapıyorum ve işim gereği sürekli makinada oturmak zorundayım. Hemoroit hastalığım sebebiyle oturmakta ve çalışmakta güçlük çekiyorum. Bu hastalık üzerine istifa dilekcesi yazarak kdem tazminatını hak kazanabilirmiyim,"Merhaba, sağlık sebepleri nedeniyle iş akdini fesheden çalışanın İş akdini haklı nedenle feshine bağlı olarak işverenden, hizmet süresinin bir yılı aşması koşulu ile kıdem tazminatı talep etme hakkı bulunmaktadır. Söz konusu sizin durumunuzda ise sağlık sorununuzun hayat kalitenizi önemli ölçüde olumsuz etkilediğini, yapmakta olduğunuz işte zorlandığınızı ve rahatsızlığınız eğer kronik bir rahatsızlık ise bu konuda bir sağlık raporu alabilirsiniz. Fakat hemoroit rahatsızlığı çoğunlukla ameliyat ile geçebilen bir rahatsızlıktır fakat söz konusu sizin durumunuzda eğer ameliyatla giderilmesi mümkün olmayan boyutta bir rahatsızlık ise bunu da devlet hastanesinden alacağınız bir sağlık raporu ile desteklediğiniz takdirde haklı sebebe dayanarak istifa edebilir ve kıdem tazminatına hak kazanabilirsiniz.",Hukuk Bilgi Platformu
"Merhabalar, ben tecrübesiz bir mühendisim. 6 ay önce bir işe başladım işe başlarken bana belirsiz süreli iş sözleşmesi imzalatıldı maaş kısmı vs boştu ben de çabuk güvenip sormadan imzaladım imzalarken nüshasını istedim vereceklerini söylediler ama vermediler ben de çalışırken çok bir sorun görmediğim için tekrar istemedim önce 2 ay maaşımı ödeyemediler açıklama yapılmasını istedim bu şekilde olursa işi bırakacağımı söyledim borç ödemeleri olduğunu çift maaş ödeyeceklerini söyleyip çift maaş ödediler sonraki ay 17 gün geciktirdiler ama sorun etmedim o ay içinde yatırıldığı için 30 aralıkta da 1 maaşımın sadece bir kısmı yatırıldı 24 ocağa kadar kalan maaşım hiçbir şekilde yatırılmayınca biraz araştırıp tanıdık bir avukat tavsiyesiyle iş görme borcumu yerine getirmekten kaçınıyorum diyerek bir dilekçe verdim ama devamsızlık sebebiyle tutanak tutulmaması için iş yerine gitmem gerektiği söylendi ben de çalışma şartlarım çok iyi olmadığı için iş yerine gitmemek için izin aldım ve sözleşme nüshasını istedim bana yeni bir sözleşme çıkarıp verdiler öncekiyle aynı zaten dediler eskisini vermediler zam için imzalaman gerekiyor sonra konuşulacak zam dediler tamam dedim imzaladım yeni sözleşmeyi ama maaşım bir hafta daha yatırılmayınca noter aracılığıyla ihtar çekmeye karar verdim ama bana ihtar işverene ulaşana kadar işe gitmen gerekir gitmek istemiyorsan şartlar kötüyse istifa dilekçesi verebilirsin dedi avukat ben de istifa dilekçesi yazdım maaşımı alamadığım için istifa ediyorum diye dilekçeyi verirken bana bunu kabul edemiceklerini standart kendi isteğimle ayrıldığımı belirten bi dilekçe yazmam gerektiğini söylediler bunu kabul etmedim o sırada bana bi ibraname verdiler ibranamenin ne olduğunu bilmediğim için okudum ve onu da imzalamak istemediğimi söyledim burda haklarımı aldığım söyleniyor ama ben almadım dedim neden imzalattıklarını sordum maaş bilgisi vs yazmıyordu elden teslim aldım ibaresi de yoktu bana maaşının yatması için bunu imzalaman lazım herkese imzalatıyoruz önemli bi şey değil diyerek baskı yapıldı ben de imzaladım ama akşam başka bi avukat tanıdığımızdan öğrendiğim kadarıyla bunu bana karşı kullanıp dava açmamı maaşımı faiziyle almamı engelleyebilirlermiş hatta maaşımı vermeyebilirlermiş neden böyle bir şey yaptım diye düşünmekten uyuyamıyorum o ibranamenin geçerliliği nedir daha dün imzalattılar 31 ocakta istifa dilekçemi verdiğim gün bu saatten sonra ne yapılabilir avukat istediği için ibranamenin fotoğrafını istiyorum atmıyorlar da","Merhaba, ibranamenin geçerlilik şartlarını taşımayan belgeler geçersiz sayılır. Örneğin çalışanın alacaklarını,haklarını ödemeden imza attırılan ibraname geçersizdir. Aynı zamanda taraflar arasındaki iş akdi sonlandıktan en az bir ay süre geçtikten sonra ibranamenin imzalanması gerekmektedir.Bu şartlar sağlanamadığı takdirde çalışana imzalatılan ibranamenin hukuken geçersiz olması durumunda çalışanın, işveren aleyhine dava açma hakkı bulunur.",Hukuk Bilgi Platformu
Eşimden anlaşmalı boşanma ile ayrıldık. 2.5 yaşında oğlum anlastgmz protokole göre 15 günde bir görüşüyor babasyla . Bunun dışında görüntülü konuşma zorunluluğumuz varmi,"Merhaba, oğlunuzla babasının iletişim kurma hakkı vardır fakat anlaştığınız protokole göre zaten 15 günde bir görüştükleri için görüntülü konuşma zorunluluğu yoktur. Zaten protokolde anlaştığınız kadarı geçerli olacaktır.",Hukuk Bilgi Platformu
Merhaba öncelikle böyle bir platform için teşekkür ederim Efendim bizim bodrum kat ile 4 katlı bir apartman iki adet çatı piyes tapulu toplam da 10 daire yıllardır ortak alınmış bir karar ile aidatı tüm daireler eşit olarak ödüyor çatı piyes dairelerden bir tanesi böldü ve kiraya verdi şimdi o komşunun iki daire olarak mı aidat ödemesi lazım yoksa eskisi gibi 10 daire olarak mı ödemeye devam edilecek Eğer ayrı bir daire oluşturup oradan gelir elde etmesinden dolayı bizim itiraz etmemiz mi hukukî yoksa değilimi bu konuda bizi aydınlatırsanız seviniriz çünkü diğer paydaslar ödeme yapmak istemiyor dolayısıyla apartman için de yapılması gerekenler yapılamıyor Saygılarımla,"Merhaba, çatı piyes dairelerden bir tanesinin bölünmüş olması kat maliklerinin rızası ile gerçekleşebilecek bir durumdur. Kat malikleri çoğunluğu ile bu duruma izin verildi mi ? Eğer izin verildiyse kat malikleri olarak çatı piyes dairenin bölünerek kiraya verilmesi neticesinde ayrı bir daire oluşturup oradan gelir elde edilmesinden dolayı kat malikleri oy çokluğu ile söz konusu komşunuzun iki daire olarak aidat ödemesini talep edebilirsiniz.",Hukuk Bilgi Platformu
Merhaba geçtiğimiz Aralık ayında işten çıkarılmam ihbar edildi. 22 Ocak 2024 tarihine kadar ihbar süresi verildi bu süre zarfında çalışmaya devam ettim. 22 Ocak 2024 itibari ile çıkışım yapıldı ancak 2023 tarihinde 16000 TL olan maaşım 2024 te 17000 TL olarak gösterilmiş bu durumda asgari ücrete yapılan oranda zam almam gerekmiyor muydu? 1000 TL maaş zammı olarak yansıtılan duruma ve buna göre hazırlanan tazminat tutarına itiraz edebilir miyim? Ayrıca işveren tazminatımı 3 aylık taksitle ödeyeceğini bildirdi bu yasal mı? Herhangi bir evrak imzalamadım. Bu konuda beni aydınlatırsanız çok mutlu olurum teşekkürler,"Merhaba, evet tazminat tutarına itiraz edebilirsiniz. Ayrıca çalışanın rızası bulunmadığı sürece işveren tek taraflı iradesi ile taksitlendirme yapamaz. Ancak işçi ile işveren karşılıklı olarak ödemelerin taksitle yapılması hususunda anlaşmaya varırlarsa tazminat ödemesi birden fazla taksitle yapılabilir. Söz konusu sizin durumunuzda ise tazminatın taksitle ödeneceğine dair işverenle herhangi bir anlaşmanız bulunmadığı için ve bu konuya ilişkin olarak herhangi bir evrak da imzalamadığınız için işvereninizin söz konusu size ödeyeceği tazminatı taksitle ödeme hakkı bulunmamaktadır.",Hukuk Bilgi Platformu
Anahtar teslim inşahat yaptırıyorum sözleşme yaptik yapmis olduğumuz mutayit fark isdiyor fark isteme hakkı varmi kat karşılığı felan deyl kendim yaptırıyorum sözleşmenin dişin da fark isdiyor,"Merhaba, söz konusu sözleşmede eğer bu farkın ödeneceğine dair bir madde hükmü yoksa farkı ödemek zorunda değilsiniz. Söz konusu anlaşma, sözleşme ile bağlı olması gerekir.",Hukuk Bilgi Platformu
"Merhabalar, telegram üzerinden gelen bir bildirim üzerine tanıştığım biri tarafından bir kripto borsasında işlem yapmak durumunda kaldım. Yatırım ve kazançlarımı çekme zamanı geldiğinde işlem kapasitesi güvenliği tehdit ediyor diye mevcut bakiyem bloklandı ve %35 kadarını hesaba yatırırsam çözüleceği ve 3 dakika içinde işlem yapılabileceği söylendi. mablanın kendi çapımda büyük olması nedeniyle işlem yapamadım . bana bu yatırımları yaptıran kişi bunu ödemem için oldukça kuvvetli telkin ve baskılar yapmaya çalıştı sonunda yapamayacağımı söyleyince bana yatırmam gereken miktarın %30-%40 kadarını borç olarak verebileceğini söyledi ancak işlemler sırasında çok fazla ekran görüntüsü vs ile kendini güvene almak istedi. zaten dolandırlıktan şüphelendiğim için bu tutumları beni rahatsız etti ve ona paranın geri kalanını topladığımı söyleyerek vaadettiği meblayı başka bir borsadaki hesabıma yatırmasını rica ettim. ancak şiddetle karşı çıkarak aynı borsaya yatıracağını söyledi. sonuç olarak meblayı yatırmasını sağladım ve sonrasında beni dava açmakla hemen parayı geri ödemem konusunda tehdit etti. ve sonrasında hiçbir şekilde görüşme sağlanmadı. hesabımdaki parayı yatırımdan kaynaklanan zararlarımda kullanmayı planlıyorum. tabiki hukuki başvurularıda sağlayacağım.süreçle ilgili bilgi ve izlenecek yol için bilgi rica ediyorum.","Merhaba, söz konusu sizin durumunuzda başınızdan geçen olayı özetleyerek savcılığa bir dilekçe vermek suretiyle suç duyurusunda bulunabilirsiniz. Cumhuriyet Savcısı, uygun gördüğü takdirde kamu davası açacaktır.",Hukuk Bilgi Platformu
"Türkiye siğortalarını tüketici mahkemelerine verdim lehine karar çıltı karara itiraz ettiler mahkeme retteddi karar gereği patamı ödediler, yelefonuma (Kayseri 2. tuketici mahkemesi nin, 2023/121 nolu dosyasinda yer alan masraflar: 25/01/2024 660 tl gider avansi B002) böyle bir mesaj geldi bu gider masraflarını benmi yoksa karşı tarafınmı ödemesi gerekir. Teşekkürler.","Merhaba, Gider avansı: her türlü tebligat ücreti ile posta ücretleri gibi giderleri kapsar ve gider avansını davacı tarafın ödemesi gerekir. Fakat gider avansının kullanılmayan kısmı hükmün kesinleşmesinden sonra davacıya iade edilir.",Hukuk Bilgi Platformu
15 sene evvel bir suçtan dolayı arşiv kaydım oldu ancak daha sonra bu kararın yanlış olduğunu yıllar sonra anlamış oldum .yıne 14 sene evvel sürücü belgesi bu karardan dolayı alamadım yıne defalarca devlet kurumlarına yaptığım başvuru red edildi ve en son özel güvenlik sınavını kazanarak kimlik kartı almak için başvurum arşivden dolayı kabul efılmedı 10 gün once karara ştiraz ettım haklılığım kabul edildi ve memnu hakların iadesine kara verildi ve lehime oldu yanlış karar olduğu doğrulandı.. şimdi bu yanlış karara tazminat davası açmak istiyorum 15 senelık asgari ücret talebinde bulunabilirmiyim dönerseniz sevinirim,"Merhaba, tazminat talebinizde istediğiniz miktarı belirtebilirsiniz. Söz konusu iş kaybınızdan dolayı 15 senelik asgari ücret miktarı bazında tazminat talep edebilirsiniz. Ama tabii bu konuda takdir yetkisi hakime kalıyor. Somut olayın koşullarına göre hakim bir tazminat miktarına hükmedecektir. Ama miktar konusunda istediğiniz miktarı belirtebilirsiniz.",Hukuk Bilgi Platformu
Merhaba kolay gelsin. 2000 yılından başlangıcı olan ve şuan 2189 günüm var ve geçen Eylül ayında tansiyona bağlı olarak beyin kanaması geçirdim. Şimdi de yüksek tansiyon hastasıyım. Bu halimle de çalışamıyorum. Emekli olacak yaşı ve primi hak edeceğim belli değil. Bu nedenle sigorta prim iadesi alabilirmiyim ??,"Merhaba, yaşın dolmasına karşın emeklilik için gerekli prim ödeme gün sayısını dolduramayanlar bağlı bulunulan sosyal güvenlik merkezine ya da il müdürlüğüne yazılı talepte bulunmaları halinde ödemiş oldukları prim tutarlarını toplu bir şekilde iade alabilmektedir. Fakat söz konusu sizin durumunuzda ise; dilerseniz malulen emekli olabilirsiniz. Malulen emekli olabilmek için gerekli şartlar: çalışma gücünde en az %60 kayıp olduğuna dair sağlık kurulu raporunuzun olması. Malullük aylığı alabilmeniz açısından ikinci şart ise malullük için gerekli sağlık kurulu raporunu almak üzere SGK ya başvurduğunuz tarihte en az 1800 gün ödenmiş priminizin olmasıdır. Yani dilerseniz malulen emekli de olabilirsiniz veya sigorta prim iadesini de alabilirsiniz.",Hukuk Bilgi Platformu
