soru,tarih,cevap
Benim icra dosyam vardı icra dosyamı borcumun tamamını ödeyerek kapattım çalıştığım şirkete borcu yoktur kağıdını getirdim yanlız maaşımdan borç kesilmeye devam ediyor bu konuyu icra dairesine söyledim fakat paranın sistemde gözükmediğini söylüyorlar şirket ile konuşuyorum para bize iade edilmedi diyorlar bu para nereye gitti kimse yardımcı olmuyor sizce bu paranın akıbetini nasıl öğrenebilirim.,1/27/2024 3:42:50 PM,Merhaba. Şirkete getirdiğiniz borcu yoktur yazısını alarak tekrar icra müdürlüğüne gitmenizi ve parayı yatırdığınıza ilişkin belgelerle birlikte İcra Dairesi hakkında şikayet yoluna başvurmanızı tavsiye ederiz.
İYİ GÜNLER BACANAĞIM GEÇEN GÜN VEFAT ETTİ ÇALIŞTIĞI ŞİRKET 340000 TL TAZMİNATINI ÖDEDİ VE EŞİNİN HESABINA GÖNDERDİ GEÇEN SÜREDE VEFAT EDEN BACANĞIMIN TEFECİLERDEN SENET İLE 300000 TL BORCU ÇIKTI TEFECİ AVUKATI ARACILIĞI İLE BALDIZIN HESABINA BLOKE KOYARMI BİRDE BACANAĞIN ANNE BABA VE KARDEŞLERİ BU BORCU ÖDEMEDE NE DERECE SORUMLUDUR TEŞEKKÜR EDERİM İYİ ÇALIŞMALAR,1/27/2024 2:01:18 PM,Merhaba. Ölen kişilerin borçlarından mirasçılarının miras payı oranında sorumluluğu vardır. Bundan kurtulmanın yolu ise mirasın reddidir. Konu ile ilgili olarak danışmanlık hizmeti almanızı tavsiye ederiz.
Çalıştığım mağaza 1 ay boyunca tadilata girecek bu durumda 1 ay işe gitmememiş olacağız maaşımız yatar mı ücretsiz izine çıkarma hakları var mı ?,1/27/2024 11:46:31 AM,Merhaba. İşvereninizin ücretinizi yatırmaya devam etmesi gerekmektedir. Ücretsiz izine çıkarma hakkı yoktur.
Merhaba kirada oturdugum ev sahibim benden %140 zam istedi.bende yuzde 60 yapabilirim.evdeki oturma surem 1 yildir.sonrasinda %100e düstü.Tahliye taahhüt namesi bu durumda gecerlimidir.ben kirami hic aksatmadan bankadan ödüyorum.tesekkurler,1/27/2024 9:43:54 AM,"Merhaba. Ev sahibiniz yasal olarak geçerli olan %25 kira artışının üzerinde bir artış talep edemez. Bunun haricinde tahliye taahhütnamesi imzalamışsanız, ev sahibiniz bu belgeyi kullanarak tahliye talep edebilir."
Merhaba babam anneme araç satışı için vekalet verdi ve annem vekâleti kaybetti simdi ise araci satmamiz gerekiyor babam burda degil annem noterden vekaletname alabilir mi veya vekaletnamesiz satış yapabilir mi,1/27/2024 8:46:18 AM,Merhaba. Anneniz babanızın vekaletname vermiş olduğu notere giderek noter belgesinin suretini alabilir. Anneniz vekaletnamesiz satış yapamaz.
Mrb.Arabulucuk da anlaşmaya varıldı. Anlaşma metninde Tazminatımın avukatın hesabına yatacağı yazıyodu.avukat kendi payı olan %20 sini alıp gerisini bana atacak değil mi. Yani parayı bana atmama gibi bir durum söz konusu olur mu,1/27/2024 6:52:57 AM,Merhaba. Kesinlikle avukat sizin haketmiş olduğunuz payınızı gönderir. Göndermemesi halinde sorumluluğu doğar.
"İş yerinden avans çektim ve bu çektiğim avansı taksitlendirdim, fakat şu an son 3 ay ödemem kaldı ve beni işten cikartacaklar ben yine de bu kalan 3 ayı ödeyecek miyim yoksa onlar çıkarttığı için ödemek zorunda değil miyim?",1/27/2024 2:03:35 AM,Merhaba. Çekmiş olduğunuz avans ücretini ödemeniz gerekmektedir.
"Merhaba, ev sahibim Azebaycan'lı ve Azerbaycan'da yaşıyor kirayı yatırdığım yurtdışı banka hesap numarasını kapatmış kirayı gönderemiyorum. Ne yapmam gerekiyor? Teşekkür ederim.",1/27/2024 12:18:29 AM,Merhaba. Ev sahibinizin ismine posta havalesi çıkarabilirsiniz. Ya da ihtar çekerek parayı bir hesapta depo edebilirsiniz.
Eşim Avrupa'da yaşıyor engelinden dolayı malunen emekli olsun diye Almanya'ya gitti evlendim balayından sonra gitti ve ufak bir tartışma sonucu eşimle Mutluyken tartışmamıza babası kulakmisafiri oldu eşimi sosyal medya WhatsApp dan beni engelletdi 4 gün konuşamadım benim nufusuma kayıtlı bir bayanı yani eşimi benden bu şekilde uzaklaştırdılar böyle bir durumda cezaları nedir kendileri ne benim nufusuma kayıtlı bir kızı bu şekilde uzaklaştıramazsınız dedim onlarda bana senin hayatını ile kaydırırım yavşak dedi kayınpaderim ben ise boşanma kararı aldım çünkü memurum ve başımım bu tür gereksiz kişilerle belaya girmesini istemiyorum sonuç ne olur,1/27/2024 12:16:29 AM,"Merhaba. Kayınbabanızın sözleri nedeniyle ""hakaret"" suçundan suç duyurusunda bulunabilirsiniz. Eşinizin yanınıza gelmemesi evlilik birliğini devam ettirmemesi açacağınız boşanma davasında haklı neden teşkil etmektedir."
İban ım istedi bir arkadaşım ve ona inanımı verdim 10.000 para geleceğini söyledi çekip verdim elden ve parayı atan kişiye geri ödemediğinden dolayı mahkemeye vermiş 3 kişi den toplam 400 bin lira ibandan para gelmiş aynı kişi adına o kişi 3 ümüzede mahkemeye vermiş ve 400 binliradan yargılıyor açıklama kısmına da göndereceği kişiyi yazmış ne yapmam gerekir,1/26/2024 11:05:29 PM,"Merhaba. Konu ile ilgili profesyonel destek almanızı tavsiye ederiz. Anlattığınız olaylar dolandırıcılık suçunun konusunu oluşturduğundan ""ağır cezalık"" suçlar kategorisindedir. İletişime geçmeniz halinde yardımcı olabiliriz."
Merhaba Eski yıllardan kalma kredi ve kredi kartı borcundan dolayı icralık olduğumdan dolayı bankalardan kara listeye düştüğümüz için kredi notum düşük olması sebebiyle kredi çekemiyorum borcumu kapattım ama durumlar aynı bende İnternet te sosyal medyada bir hesap gördüm kredi notunuzu yükseltiyor diye kendisiyle iletişim kurduğumda binance hesabı açın banka hesabınızda 30 40 tl binance hesabınıza yatırın sonrasında bizimle iletişime geçin dedi. Bu işlemlerin ardından hesabınızı onaylayın dedikten sonra whatshapp tan arayarak iletişim kurdular yanlarına çağırdılar gittiğimizde 2 3 arkadaş geldi ve bizimle oturup anlattılar hesabınıza yüklü miktarda para yatırıp cripto hesabınızda alım satım yaparak tekrar geri çekiyoruz ve hesabınızın limitlerini yükseltip kredi notunun yükseltiyor diye bahsettiler bizden telefon ve hesap bilgilerimizi istediler telefonları neden istediklerini sorduğumuzda işlemleri yapan in banka çalışanı olduğu için ve paranın yüksek miktar olması sebebiyle güvenlik açısından görüşmediğim söylediler bizde kabul edip verdik biraz zaman geçince biz söylenmeye başladık ve oyalama ya başladılar sonrasında zaman dahada geçince biz vazgeçtik istemiyoruz diyince hesabınıza attığımız parayı çekip getiriyoruz dediler ve telefonlarimizi zor bela aldık aldığımızda safjlarimiz bitmişti sonrasında yüklü miktarda giriş çıkış olduğunu ogrendim bankadan hesaplarımızı bloke koyulmuş mahkemelik olurmuyum veya nasıl bir durumla karşı karşıyayız ceza alirmiyiz ne kadar alırız almamamiz için ne yapmalıyız yardımcı olursanız sevinirim.,1/26/2024 9:59:24 PM,Merhaba. Bir dolandırıcılık işleminin mağduru olabilirsiniz. Konu ile ilgili bizimle iletişime geçmenizi ve yasal yollara başvurmanızı öneririz.
"Merhaba.memur olarak çalıştığım kurumda, herkes tarafından sorunlu personel olarak görülen defalarca odası değişmiş kavga etmiş birisiyle aynı odada çalışmam isteniyor.nasil bir yol izleyebilirim.",1/26/2024 7:15:45 PM,Merhaba. Oda paylaşımı konusunda amirlerinizin takdir hakkı bulunduğundan bu hususta şahsi bir tasarrufta bulunmanız söz konusu değildir. Olası bir olumsuzluk halinde karşı tarafın eylemine göre ceza/disiplin işlemi yapılmasını talep edebilirsiniz.
instagram silinenen mesajlar ceza dosyasında savcılık kararı ile sşlşnen mesajlar geri getirilebilir mi ?,1/26/2024 3:19:31 PM,Merhaba. Instagram şirketi ile yapılacak yazışmalar ile şirket bazı durumlarda bu mesajlaşmaları savcılık birimine sunmaktadır. Ancak instagram şirketi özel hayatın gizliliği kuralları konusunda çok hassas davranmaktadır. Sorunuzu detaylandırmanız halinde daha net cevap verilebilir. Konu ile ilgili iletişime geçebilirsiniz.
Belcikada 2 cocugu olan bir adam bosandiktan sonra cocuklarin velayeti annesinde ise evin faturalarini odemek zorundami,1/26/2024 3:14:32 PM,Merhaba. Boşanmış eşin nafaka yükümlülüğü dışında herhangi bir yükümlülüğü bulunmamaktadır. Bu hususta çocukların bakımı ile ilgili iştirak nafakası davası açılabilir. Ancak fatura ödeme zorululuğu yoktur.
Merhaba kolay gelsin kızımın evshopa olan borcundan dolay avukatlık oldu. Biz anlaşma yoluna gitmeye çalışıyoruz taksitlendirmek istiyoruz fakat asla yanaşmıyorlar. Sürekli tüm akrabalarımız ve hatta eski eşim aranıyor. Biz bunlarla uğraşmak zorunda klaıyoruz. Arayan beyefendiye ödemek istediğimizi ama taksit yapmalarını bize kolaylık yapmalarını söylüyoruz. Asla kabul etmeyip hukuk firmasından arayan beyefendi kapınıza icra memurlarını gönderelim görürsünüz o zaman diyor ve asla rahat bırakmıyor.Çok bunaldık. Herhangi bi yasal hakkımız varmı ne yapabiliriz,1/26/2024 1:44:36 PM,"Merhaba. İlgili şahısların sizi ve çevrenizi sürekli rahatsız etmeleri nedeniyle ""kişilerin huzur ve sükununu bozma"" suçundan suç duyurusunda bulunabilirsiniz. Borç ile ilgili olarak ise borcu ödeme zorunluluğunuz vardır. Karşı taraf icraya gittikten sonra yapacağınız taahhütle taksitlendirme yapabilirsiniz."
Evlatlık verilen çocuğun geliri emekli TOKİ konut hak sahibini etkilermi,1/26/2024 7:07:26 AM,Merhaba. Anlatımınızı detaylandırmanız halinde daha net cevap verebiliriz. Anlattığınız kadarıyla Toki konut hak sahipliğinde herhangi bir sorun yaşamayacaksınızdır.
"Merhaba, arkadaşım alkollü bir şekilde kaza yaptı ve bir kişinin ölümüne sebep oldu. Yalnız kaza yaptığı yerde en ufak bir kamera yok iki tarafın ifadesine göre de kazanın nasıl olduğuna dair bir bilgi de yok. Düz yolda kafa kafaya çarpıştılar. Karşı tarafın hızı 160 emniyet kemeri takılı değil ve airbagleri patlamamış kapattırmış. Rapora göre karşı taraf %40 suçlu bizim ki %60 . Çok üzgün ve mutsuzuz.Mahkemeye kadar tutukladılar 60 günlük raporun üstüne ve şu an da da raporu devam etmesine rağmen. Gerekli itirazları da yaptık.Ne yaparsak içeriden çıkartabiliriz.? Lütfen yardımcı olun içeriye girmemesi için her şeyi yapabilecek durumdayız.",1/26/2024 2:06:34 AM,Merhaba. Kusur durumuna ilişkin değerlendirmeleri dosyayı kapsamlı olarak inceledikten sonra yapabiliriz. Bizimle iletişime geçip profesyonel destek almanızı tavsiye ederiz.
2016 yılından bu yana tüzel kişilik olarak iki ortaklı şirketim bünyesinde işletmekte olduğumuz Milli Eğitim Bakanlığı'na bağlı özel eğitim ve rehabilitasyon merkezimiz var. Kiralık bir binada hizmet vermekteyiz ve mülk sahibi binayı satacağını ifade etti. Bakanlığa bağlı rehabilitasyon merkezi açabilme standartlar yönergesine göre tahliye sonucu başka bir yer bulmam ve onaylarını almam uzun sürecektir. Kurumdan hizmet alan 150 öğrenci bulunmakta ve böyle bir durumda hem işimi kaybetmiş olurum hem de öğrencilerin eğitimi sekteye uğrar. Bu gibi durumlarda tahliye kararı hemen verilir mi? Ya da bu tarz bir durumda tahliye için ne kadar süre verilir?,1/26/2024 1:19:52 AM,Merhaba. Mülk sahibinizin satış yapacağı gerekçesiyle tahliye etme hakkı bulunmamaktadır. Satış yapıldıktan sonra yeni mülk sahibi ile yeni sözleşme imzalayabilirsiniz. Yeni mülk sahibinin tahliye talep etmesi durumunda belirli sürelere uyulması gerekmektedir. Bu süreçlerle ilgili profesyonel destek verebiliriz.
Merhabalar kolay gelsin ben TR de avrupa ya lojistik firmasında çalışmaya başlıycam yakın zamanda 2-3 bankaya haciz borcum var çalışmaya başlıyacağım şirket biri tl diğeri euro olmak üzere iki maaş hesabı açmamı söylediler tl hesabıma 4/1 olmak üzere haciz geleceğini biliyorum euro hesabına da haciz veya bloke olma durumu var mı bu konuda bilgi alabilirmiyim,1/25/2024 10:14:08 PM,Merhaba. Her iki banka hesabına da 1/4 oranında haciz işlemi uygulanacaktır.
işyerinde tartışdıgım ekiplideri bana kafa attı burnum kanadı hastaneye gidip darp raporu aldım işden cıkarabilirmiler ben hiç karsılık vermedim,1/25/2024 7:30:03 PM,Merhaba. Anlattığınız şekilde mağduru olduğunuz olay nedeniyle işten çıkarılmanız söz konusu olamaz.
Merhaba babam rahmeli oldu abim cezaevinde abimin borçları yüzünden banka babamın adına olan eve banka el koydu ve satışa çıkacak fotoğraf çektiler direk ihaleye çıkarmı aileye öncelik olarak bi hak tanınırmı. Ve sonrasında evi biz alsak kalan borçlular eve tekrar haciz kormu teşekkürler🙏,1/25/2024 11:48:52 AM,Merhaba. Ne yazık ki babanızın malları satışa çıkar. Bu malların ihalesi kapsamında siz de ihaleye katılarak satın alma işlemi yapabilirsiniz. Bu halde teminat yatırmanıza gerek yoktur (paydaş olmanız nedeniyle). Siz satın aldıktan sonra abinizin borçları nedeniyle tekrar size haciz gelmeyecektir.
"Yasal, müzeye kayıtlı ve yurt dışı satış izinli antika mücevheratimi yurt dışından bir alıcıya satacağım. satış işlemi bankada ve noter huzurunda olacaktır. ödeme yurt dışındaki bankadan benim bankaya swift şeklinde gerçekleşecek Paranın kirli veya suç gelirinden elde edilmiş olması durumu varsa sorun yaşar mıyım ? Ne yapmalıyım? teşekkürler.",1/25/2024 9:19:15 AM,Merhaba. Alıcı şahısla sözleşme yaparak süreci profesyonel şekilde gerçekleştirmenizi tavsiye ederiz. Sürecin sağlıklı yürümesi için size danışmanlık hizmeti verebiliriz.
Ben sosyal medyadan yurt dışı telefon satın almak istedim parasını verdim ama telefonu göndermedi. Sonrasında numara ve isim hakkında biraz araştırma yaptım ve benim gibi bir sürü insanı dolandırdığını gördüm. Ve maalesef şahıs yurt dışında yaşıyor hakkında onlarca dava açılmış ama kaç ay geçmesine rağmen hala telefon ilanı paylaşıp insanları dolandırmaya devam ediyor rahat bir şekilde. Bu şahıs yurt dışında bulunup cezası verilir mi?,1/25/2024 12:33:08 AM,Merhaba. Konu ile ilgili sizin de şikayetçi olmanızı tavsiye ederiz. Kimlik bilgilerine ulaşılması halinde yurt dışında yaşasa dahi bir şekilde şüpheli şahsa ulaşılacaktır.
Merhaba geçen gün bir alkollü ortamda bir arkadaşla kavga ettik ben evıme geldim bu kişi daha sonra ambulans ı aramış darp raporu almış ufak izler vücut ta ifade verirken alkollüydük tartıştık bana hiç bir şekilde hakeret etmedi vurmadı şikayetçi değilim dedi bende olay bundan ibarettir bende şikayetçi değilim dedin şimdi bu kişi darp raporundan dolayı mahkemeye çıkarmıyız ceza alırmıyım yardımcı olursanız sevinirim avukat tutmam gerek limi,1/25/2024 12:31:31 AM,"Merhaba. Kava sırasında herhangi bir kesici veya delici alet kullanmayıp sadece ellerinizle birbirinize vurmuş iseniz, şikayetten vazgeçmiş olmanız nedeniyle herhangi bir sorunla karşılaşmayacaksınızdır. Detaylı bilgi için iletişime geçebilirsiniz."
Soyadımı değiştirmek istiyorum bunu nasıl yapmalıyım elimde bi sebeb yok babamla anlaşamadığım için bunu yapmak istiyorum,1/24/2024 11:51:40 PM,Merhaba. Bizimle iletişime geçmeniz halinde gerekli davanın açılması ve sürecin takibi konusunda yardımcı olabiliriz.
Merhabalar geçtiğimiz gün birisi benim fotoğraflarım ile beni tehdit etti ve para istedi korkudan attım ondan sonra engelleyince mesajları sildim ama şikayetçi olmak istiyorum ama mesajlar yok ne yapmam lazım,1/24/2024 9:46:48 PM,"Merhaba. İlgili kişinin telefon numarası, iletişim adresi veya ismi gibi ulaşılabilecek bilgileri olmadan yapacağınız şikayetten sonuç alamazsınız."
16.01.2024 tarihinde belediyenin kendisine ait düğün ve etkinlik salonunu 5 Nisanda kullanmak için ücretini yatırdım (Tamamını). Bugün bana hesabıma paranın tümünü iade ettikleri makbuzu gönderip iptal ettiklerini belirttiler. Yani başkasına o tarihi vermek için iptal ettiler. Hukuki olarak ne yapabilirim.,1/24/2024 9:10:42 PM,Merhaba. Uğradığınız zarar kapsamında tazminat davası açabilirsiniz.
Merhabalar baştan beri sorunları olan bir sitede oturuyoruz. Sitenin doğalgaz ısınması ortak ve pay ölçer falan yok. Elektrik gidip geldikten sonra arıza yapmış ve yapılması 1 aya yaklaşık sürer diyorlar. Evde elektrikle ısınmaya çalışıyoruz. Herhangi bir dava açabilir miyiz?,1/24/2024 7:07:07 PM,"Merhaba. Site yönetimine eksikliklerin giderilmesi konusunda başvuru yapıp, sorunların çözülmemesi halinde Sulh Hukuk Mahkemesine site yönetimine karşı dava açabilirsiniz."
Merhaba benim sosyal medyada devleti asaglama devlete hakaret gibi bir paylaşımım olduğu gerekçesiyle ifadem gerekiyor ben öyle bir şey yapmadım ben yurd dışındayım ne yapabilirim,1/24/2024 6:22:13 PM,Merhaba. Bizimle iletişime geçmeniz halinde size yardımcı olabiliriz. Dosyanızın incelenip savunmanızın hazırlanması gerekmektedir.
İyi günler Benim 91 günlük kredi Gecikmem var Bu neticede 90 gün içerisinde yapılandırma yapmam lazımdı fakat yapamadım 91 inci günde Banka Avukata Vermiş Avukat Komple kredinin kapatılmasını söyledi bende dedim Benim Taksitlerim gecikmede yani Taksit tutarı ödemem lazım dedim sözleşme bozulmuş kredinin komple kapatılması lazım dedi sizce böyle birsey varmı Yani,1/24/2024 2:20:34 PM,Merhaba. Kredi taksitlerine ilişkin yapılandırmanızı bozmanız halinde banka kredinin tamanını talep edebilir.
Merhaba 2 katlı müstakil bir binanın üst kat mal sahibiyim .ALK KATIMDA BAŞKA BİR MAL SAHİBİ OTURUYOR. sURUM EVİME ÇIKAN BANA AİT MERDİVENİN ALTI DEPO KULLANIMI OLARAK İNŞA EDİLMİŞ VE BU DEPOYU YAKLAŞIK 10 YILDIR ALT KATIM KULLANIYOR. BENİM KOYDUĞUM EŞYALARI DIŞARI ÇIKARIP KAPIYI KİLİTLİYOR . DEPO ALDIĞIMIZDA VARDI KENDİSİ İNŞA ETMEDİ,1/24/2024 1:42:02 PM,"Merhaba. Oturduğunuz binadaki merdiven altı deposu, alt katınızın tapusunda eklenti olarak belirtilmemişse ortak kullanım alanı niteliğindedir. Bu yerde ortak kullanım hakkınız vardır. Sizin eşyalarınızı atan alt katınız hakkında şikayetçi olabilirsiniz."
"Nezaretteki yakınımı neden göremiyorum, görme hakkına sahipmiyim",1/24/2024 12:47:12 PM,Merhaba. Nezaretteki yakınınızı ancak avukatı görüp görüşebilir. Bunun haricinde sizin görüşme hakkınız bulunmamaktadır.
"Merhaba kolay gelsin, Biz bir sene önce Arçelik davlumbaz aldık ve montajı düzgün yapılmadığı için davlumbaz kendi kendine düştü yani kendi evimizde ölüm tehlikesine girmiş olduk bunun için arçeliğe dava açabilir miyiz?",1/24/2024 12:45:57 PM,"Merhaba. Yaşanan aksaklık nedeniyle ilgili firmaya tazminat davası açabilir, eski hale iade noktasında talepte bulunabilirsiniz."
"Merhaba, arkadaşımdan araç alacağım. Yarısını peşin yarısını önümüzdeki sene ödeme koşu ile anlaştık. Aramızda ne gibi bir belge ve nerede imzalamamız gerekir. Para konusunda herhamgi bir sorum yaşamayacağımıza eminiz ama bunu resmiyete dökmek istiyoruz.",1/24/2024 11:16:02 AM,Merhaba. Senet imzalayarak işi resmiyete dökebilirsiniz. Yine aranızda bir sözleşme yaparak da resmi şekilde satışınızı yapabilirsiniz.
Site görevlisiyim logarin içini temizlerken parmağım kesildi kopmadı ama yinede tazminat hakkım varmı çünkü temizlemek benim işim degil,1/24/2024 10:51:49 AM,Merhaba. Sözleşmenize bakarak daha net cevap verebiliriz. Ancak görev tanımınızda böyle bir husus yoksa tazminat hakkınız mevcuttur. Yaralanmanın niteliğine göre tazminat talep edebilirsiniz.
selamlar ben askerden firar ettim uzun bi süre önce annem babamdan şiddet gördüğü için annemi yanlız bırakıp askerliğime uzun bir süre dönemedim izin tecavüzü ile askerlikten çıktım ve bi daha geri dönemedim o günden beri arantım mevcut yardım istedim kısım şu askerliğime teslim olmak için kendimi hazırlıyodum süren bir davam vardı ve bu dava sonucu ceza evine alındım girdi çıktı yaparak beni denetimli serbeslik şartıyla serbest bıraktılar denetimim yansın istemiyorum bu konu hakında yardım istiyorum bugun askerlik şubeme gidicem bu durumla allakalı çünki askerlikten dolayı firar arantım var ve arantım varken denetimli serbestlik müdürlüğüne giriş yapamicam gbt yaptıkları için sorun olucak bu konu hakında bilgi ve yardımcı olabilicek bilgili bi abim ablam varsa yardımcı olabilirse çok sevinirim,1/24/2024 7:28:57 AM,Merhaba. Öncelikle Denetimli Serbestlik Müdürlüğüne giderek askerlik hizmetinize devam edeceğinizi belirtip askerliğinizi yapacağınızı belirtin. Sonrasında dilekçeyle başvurarak denetimli serbestlik şube müdürlüğünden alacağınız yazıyı askerlik şubesine gönderirsiniz. Süreci bu şekilde yönetmenizi tavsiye ederiz.
"Merhaba benim sadece 2 hafta konuştuğum biri oldu sosyal medya üzerinden yazıştık ama flört söz konusu olmadı sadece konuştuk. Ona açılmış bir kamu davası varmış ama ben detay bilmiyorum ve bir alakam yok, bana sadece çok önceden bir kavgaya karıştığını söyledi. Konu bana seker mi? Ailem aranır mı? Onunla konuştum gerekçesi ile öğrenilir mi?",1/24/2024 3:49:15 AM,Merhaba. Bahsettiğiniz şekliyle size hiç bir sıkıntı olmayacaktır. Sırf sizinle görüştüğü gerekçesiyle size bir suçlama yöneltilemez.
"Merhaba, annem ekim ayında hastanede tedavi görürken vefat etti. Hastanenin ve doktorların ihmallerinin olduğunu düşünüyoruz. Sağlık bakanlığına ve hastaneye 2 adet dilekçe ile başvurduk detaylı bilgi paylaşılması için ve iadeli tahahütlü posta ile gönderdik. 60 gün olmasına rağmen cevap vermediler. Şu an ne yapabiliriz ? Bu konuda yardımcı olabilirmisiniz. İyi Çalışmalar Dilerim.",1/24/2024 1:27:31 AM,"Merhaba. Hastane ve doktorların kusuru olduğunu düşünmeniz halinde hem suç duyurusunda bulunabilir hem de doktor kusuru ""Malpraktis"" nedeniyle dava yoluna gidebilirsiniz. Sürecin uzun ve şekli olması nedeniyle profesyonel destek almanızı öneririz."
Igeceler.annem13.yaşındayken.kandırıp.götürüyolar.sanakimlik.alacagızdiye.elinden.parmakizialıyolar.annemin.malınaelkoyolar..sorum.una.davaacılabilinirmi,1/24/2024 1:18:13 AM,Merhaba. Annenizin 13 yaşındayken yaptığı tasarruflar geçerli değildir. Konu ile ilgili profesyonel destek almanızı tavsiye ederiz. Bizimle iletişime geçebilirsiniz.
Merhaba 17 yaşın dayım 1 tane çalışıp aldığım tam altınım var bozmak istiyorum bir sorun olurmu,1/24/2024 12:46:07 AM,Merhaba. Ailenizin rızasını alarak bozdurmanızı tavsiye ederiz. Bunun haricinde şahsi mallarınız üzerinde dilediğiniz gibi tasarruf edebilirsiniz.
Merhabalar İş yerim normalde her nisan ayında bir önceki yılın primini veriyor. Ben şubat ayında ayrılıyorum. Geçen seneki primimi alabilir miyim?,1/24/2024 12:35:12 AM,Merhaba. İş sözleşmenizde bu hususta bir hüküm varsa bu hükme göre değerlendirme yapılmalıdır. İş sözleşmenizde özel bir hüküm yoksa işten ayrıldıktan sonraki dönemde dağıtılan primden pay alamazsınız.
"Merhaba, ben bi ev satın aldım evi almadan önce eski ev sahibine sorduğumda evde hiçbir şekilde evin rutubet, kuflenme olmadığını söyledi ama kış ayı başlar başlamaz bu şeyler oldu bu durumda eski ev sahibine dava açabilir miyim beni dolandırığı için ?",1/23/2024 10:59:44 PM,Merhaba. Meydana gelen kusurları eski ev sahibinin sakladığı gerekçesiyle bir dava ile tazmini yoluna gidebilirsiniz. Olay hukuki ihtilaf niteliğinde olduğundan suç duyurusunda bulunmanız mümkün değildir.
Ben Metraj Usulü İş Yapıyorum Bir Arkadaş Yanıma Çalışmaya Gelicem Bahanesiyle Bilet param Yol Param Yok Dedi Yol Parası Gönderirimisin Dedi Gönderdim Ve Gelmedi Adına Dolandırıcılıktan Suç Duyurusunda bulunabilirmiyim,1/23/2024 10:49:33 PM,Merhaba. Arkadaşınıza karşı icra takibi yolu ile alacağınızın tahsilini isteyebilirsiniz. Ayrıca arkadaşınız bu eylemi dolandırıcılık kastı ile gerçekleştirmiş ise suç duyurusunda da bulunabilirsiniz.
"İyi günler iyi çalışmalar 9 daireli bir apartman dairesinde ikamet etmekteyim 3. Katta oturuyorum apartmanında yönetici bulunmamaktadır, apartmanımızın 2011 yılı sonuna doğru inşaatı bitmiş diye biliyorum, ben 2014 yılında satın aldım ve halen ikamet etmekteyim, apartmanımızın üzerinde çatı bulunmamakta yani açık bir şekilde dam olarak kullanılmakta ve güneş enerjileri vardır benim evimin bazı yerlerinde tavanda nemerme vardır ve banyondan ve balkonun tavanından su sızmaktadır, apartmanın damını kapatmak için kapalı çatı yaptırmaya diğer diareler paramız yok falan filan diyerek pek yanaşmıyorlar bu konu ile ilgili kanunu hakkım nedir diğer dairelere mahmekemeye versem nasıl bir yol izlemem lazım ve nasıl bir hak elde edebilirim. Teşekkürler kolay gelsin aklıma gelen bunlar olayı anlatabilmişimdir umarım.",1/23/2024 6:31:40 PM,Merhaba. Bina yönetiminin bulunmadığı durumda ve genel kurul da toplanmadığı hallerde Sulh Hukuk Mahkemesinden bina yönetimi atanmasını talep eder şekilde dava açabilirsiniz. Belirttiğiniz aksaklıkları da kendiniz giderip kat maliklerine payları oranında rücu edebilirsiniz.
İdanemeyi düzeltmek adına t.c. Savcısının odasına girdim kabul etmedi dışarı çıkardı bu durum için bana dava açarmı,1/23/2024 5:59:32 PM,Merhaba. Cumhuriyet Savcısı tarafından odasına kabul edilmemeniz hakkınızda dava açılacağını göstermez.
İyi günler ben yüzde 94 ortopedik engelliyim çocuklarımı okutabilmek için emekli olduğum halde çalışmak zorundayım yürümekte zorluk çekiyorum konya belediye başkanligindan çalışmış olduğum işyerine yakın bir yerden engelli Park yeri yapmalarını istedim sağolsun lar hemen yaptılar fakat bu Park yeri sürekli etraftaki esnaflar tarafından işgal edildi emniyet i arayarak Park işgalini günü birlik engellediler. Fakat bu gün 8 kişi aracımı park ettiğim esnada önümü keserek. Tehdit ettiler dövmekle ve aracıma Zarar vermekle emniyet e Park yeri işgali hakkında şikayette bulunursam zarar vereceklerini söylediler engelli Park yeri boş olursa kullanacak mısım .Birde aracımı engelli Park yerine park ettiğim de arkasına paralel araç park ederek çıkmamı engelliyorlar akşam iş çıkışı saatlerce girmelerini bekliyorum engelli isen çalışma diyorlar bu konuda ne yapabilirim gücüm kalmadı artık korkuyorum nörolojik rahatsızligim olduğu için ufak bir çocuk itse yere düşerim ve yerden kalkamam,1/23/2024 11:44:38 AM,"Merhaba. Konu ile ilgili karakol veya Cumhuriyet Başsavcılığına suç duyurusunda bulunmanızı, Valilik makamına müracaat etmenizi, CİMER üzerinden başvuru yapmanızı öneririz."
Merhaba eşimin ilk eşinden çocuğu var ve benim kendi adıma bankada birikimim var eşim vefat etmiş olsa eşimin ilk eşinden çocuğu bu bu paradan pay alabilirmi banka da benim adıma bir hesapta bu,1/23/2024 9:20:37 AM,"Merhaba. Eşinizin ilk eşinden olan çocuğu sizin mirasçınız olmadığından, eşinizin vefatı halinde sizin hesabınızdaki paradan eşinizin önceki eşinden olan çocuğunun miras payı olmaz."
